ID,Address,Rooms,Type,Price,Date,Bathroom,Car,Landsize,Age,Lattitude,Longtitude
ID236459255,26 Thomas St,3,h,1346000.0,10/12/2016,1.0,0.0,187.0,104.0,-37.8169,144.996
ID798431030,26 Queen St,3,h,1800000.0,28/08/2016,2.0,1.0,336.0,109.0,-37.8074,145.0318
ID888074357,44 Challis St,2,h,800000.0,4/03/2017,1.0,1.0,244.0,79.0,-37.846,144.8729
ID526287538,18 Tyler St,2,h,710000.0,3/12/2016,1.0,0.0,457.0,69.0,-37.7878,144.8369
ID438203273,1/29 Milan St,2,u,660000.0,17/06/2017,1.0,1.0,101.0,29.0,-37.98558,145.05966
ID243845071,10 Hood St,4,h,2155000.0,28/08/2016,2.0,3.0,620.0,22.0,-37.7985,145.0707
ID967848306,73 Mareeba Wy,4,h,523000.0,19/08/2017,2.0,2.0,484.0,10.0,-37.58012,144.91998
ID327155809,10 Through St,3,h,1425000.0,12/08/2017,1.0,1.0,333.0,89.0,-37.82737,145.02971000000005
ID583261894,564 Buckley St,3,h,630000.0,16/04/2016,2.0,1.0,221.0,39.0,-37.7504,144.8594
ID429182640,45 Bordeaux St,4,h,1545000.0,29/04/2017,3.0,2.0,647.0,54.0,-37.7819,145.1184
ID830574698,58 Alma Tce,3,h,1530000.0,8/04/2017,1.0,2.0,588.0,79.0,-37.8485,144.8909
ID282513436,592 Mountain Hwy,3,h,606000.0,29/07/2017,1.0,1.0,424.0,49.0,-37.842909999999996,145.25545
ID728591382,100 Reynard St,4,h,975000.0,27/11/2016,2.0,2.0,307.0,23.0,-37.74800000000001,144.9602
ID274180665,219 Waiora Rd,3,h,915000.0,23/09/2017,2.0,2.0,604.0,64.0,-37.730979999999995,145.06043
ID726302940,101 Roberts St,3,h,1050000.0,4/06/2016,2.0,1.0,462.0,59.0,-37.8128,144.8695
ID486973704,59 Wetherby Rd,4,h,1250000.0,27/05/2017,2.0,3.0,733.0,39.0,-37.79197,145.14257
ID597670771,262 Union Rd,4,h,3290000.0,22/05/2016,3.0,2.0,1007.0,109.0,-37.8135,145.0995
ID732966823,12 Hardiman St,3,h,1135000.0,15/10/2016,1.0,0.0,0.0,104.0,-37.7957,144.93200000000004
ID514509089,72 Ormonde Rd,4,h,890000.0,29/07/2017,2.0,2.0,659.0,27.0,-37.89508,145.27879
ID462169163,3 Grandview Rd,3,h,845000.0,26/08/2017,1.0,1.0,345.0,69.0,-37.73901,144.89154
ID286776484,1/57 Blyth St,3,u,730000.0,16/04/2016,2.0,1.0,70.0,29.0,-37.868,144.8287
ID644074667,24 Talbot St,3,h,631500.0,18/06/2016,1.0,3.0,593.0,54.0,-37.7133,144.947
ID625000110,127 Elizabeth St,3,h,637000.0,18/06/2016,1.0,4.0,498.0,69.0,-37.7323,144.9833
ID553998298,43 Ballarat St,2,h,767000.0,25/02/2017,1.0,0.0,128.0,99.0,-37.8179,144.8908
ID432456435,9a Elizabeth St,3,h,1355000.0,15/10/2016,1.0,2.0,759.0,89.0,-37.9057,145.0166
ID755654275,3/35 Creswick St,2,u,815000.0,18/06/2016,1.0,1.0,0.0,79.0,-37.8184,145.0163
ID963863564,65B Hotham St,2,h,1320000.0,4/03/2017,2.0,1.0,0.0,119.0,-37.7969,144.9885
ID588239012,10 Hastings St,3,h,1460000.0,17/09/2016,1.0,2.0,742.0,69.0,-37.8529,145.0962
ID934008152,7/177 Oakleigh Rd,2,u,580010.0,8/07/2017,1.0,1.0,0.0,49.0,-37.9003,145.06342
ID856734081,43 Stawell St,3,h,830000.0,17/06/2017,2.0,2.0,1025.0,49.0,-37.90188,144.65138000000005
ID379883600,2 Rodney Cl,4,h,1500000.0,19/08/2017,2.0,2.0,657.0,83.0,-37.90466,145.19433999999995
ID802705832,30 Nicholson St,3,t,2030000.0,20/05/2017,2.0,2.0,201.0,139.0,-37.8428,144.9877
ID146037372,1 Egginton St,4,h,1268000.0,24/06/2017,2.0,2.0,645.0,69.0,-37.76097,144.93933
ID968161959,1/919 Pascoe Vale Rd,3,t,370000.0,8/10/2016,2.0,1.0,259.0,16.0,-37.6977,144.9149
ID515595034,5 Kallara Gr,3,t,730000.0,7/11/2016,1.0,2.0,250.0,19.0,-37.7861,144.8897
ID195604579,50 Gloucester St,3,h,950000.0,19/11/2016,2.0,2.0,565.0,99.0,-37.7196,144.997
ID349155533,53 Addison St,4,h,1875000.0,27/06/2016,3.0,0.0,235.0,14.0,-37.8775,144.9808
